Smartphone,review_url,reviewer,rating,review_date,review_text,performance,battery,camera,display,overall
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2Y6LAR81M1EJX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Elisa,"5,0 su 5 stelle",Recensito in Italia il 11 aprile 2026,"È uno dei migliori samsung che abbia mai avuto!
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R1BWVSG3DDX53/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Massimo Bertoldi,"5,0 su 5 stelle",Recensito in Italia il 2 febbraio 2026,"Be che dire avevo già preso A 34 a mia mamma l'anno scorso e quest'anno sostituito A 51 di mio papà con questo. Veloce , economico e intuitivo. Subacquea ha tutto ciò che serve ad un prezzo contenuto.
",1,NA,NA,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R28K74V0DL2FOP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,MANUEL,"4,0 su 5 stelle",Recensito in Italia il 19 luglio 2024,"Per la fascia di prezzo è sicuramente un buon prodotto. Esteticamente elegante, veloce in multitasking. Risulta un po' troppo grande di dimensioni e pesante e può stancare tenerlo alla lunga in mano. Ma il vero punto dolente secondo me è l'autonomia della batteria. Con la batteria completamente carica arrivate a sera a malapena al 40%. Se consideriamo che nell'arco della giornata faccio al massimo un paio di chiamate e mando qualche messaggio (quindi lo schermo rimane per la maggior parte del tempo spento) non è esattamente brillante come risultato considerato anche la batteria da 5000mAh.
",1,-2,NA,NA,0
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R1DDBQ15YWEJHL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Andrea S.,"4,0 su 5 stelle",Recensito in Italia il 12 febbraio 2025,"Il telefono si presenta bene, gli aggiornamenti sono garantiti qualche anno, motivo della mia scelta, samsung ha alcune cose comode, come l'avviso spam su alcuni numeri, gli aggiornamenti e backup, il sensore dell'impronta sullo schermo e altri piccoli dettagli. Fotocamere non eccezionali. Deluso della mancanza dell'accensione e spegnimento programmato. Non sembra essere possibile registrare più di tre impronte. Aggiornerò la situazione è fra qualche mese
",NA,NA,-1,NA,0
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R3F8RUO8T9YSWE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Luca,"5,0 su 5 stelle",Recensito in Italia il 15 febbraio 2026,"Telefono arrivato in condizionj perfette come da descrizione, è stato come comprarlo in negozio, penso il miglior telefono di fascia bassa che ci sia sul mercato💯🔝
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R39TGXY1N4P7D4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Simone,"4,0 su 5 stelle",Recensito in Italia il 14 agosto 2024,"Ho ricevuto il Samsung Galaxy A35 128GB 6RAM 5G da pochi giorni e, al momento, devo valutarlo positivamnte. Estremante facile, seguendo le istruzioni che vengono impartite al primo avvio, trasportarvi tutti i dati e le app del mio precedente Samsung Galaxy M20. Non ho perso un numero della mia rubrica, come pure tutte le precedenti applicazioni le ho ritrovate sul nuovo telefono. Schermo ampio e facilemente utilizzabile. Non posso dire ancora niente circa foto e video perché non ancora testato. Ottimo il rapporto qualità prezzo.
",NA,NA,NA,1,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/RHANTCGY9XEPC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Rita,"3,0 su 5 stelle",Recensito in Italia il 6 ottobre 2025,"Ho ordinato il prodotto che nel titolo riporta ""black"" perché lo volevo nero (avevo visto altri venditori che riportavano ""navy"" per cui ho scelto proprio questo per il colore) però è arrivato color navy. È piaciuto lo stesso, la spedizione è stata perfetta ed è al momento tutto a posto nel suo utilizzo, però attenzione al colore che potrebbe non essere nero.
",NA,NA,NA,NA,0
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R1ASMA1MD40QSW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Neri S.,"5,0 su 5 stelle",Recensito in Italia il 15 febbraio 2026,"Articolo ricevuto nei tempi previsti: nella confezione è incluso un cavetto USB type C e l'utensile per rimuovere lo slot sim/microSD.
",NA,NA,NA,NA,0
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R1WF66033Y96LP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Jeepa,"4,0 su 5 stelle",Recensito in Italia il 22 aprile 2025,"Telefono buono, di fascia media con consuete caratteristiche Samsung, ovvero affidabile, aggiornato ma non troppo reattivo.
Considerevoli peso e dimensioni che nella sostanza rendono piuttosto difficile l'uso ad una mano (soprattutto dopo alcuni minuti di utilizzo). Tenetene conto. Per il resto è il classico Samsung che dovrebbe durare anni senza intoppi.
",-1,NA,NA,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R3UXGFHCB7H1EU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Tiziana Bianchini,"5,0 su 5 stelle",Recensito in Italia il 31 marzo 2026,"Prodotto integro e perfetto.
",NA,NA,NA,NA,2
